created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2020-12-13 18:10:16 UTC,89012,22.78,44.06,99255.00,413443.00,221.98,3.00,181.55,1815.51
2020-12-13 18:10:34 UTC,89013,22.79,44.06,99253.00,420665.00,218.20,3.00,178.52,1785.19
2020-12-13 18:10:49 UTC,89014,22.81,44.07,99251.00,416508.00,220.30,3.00,180.16,1801.63
2020-12-13 18:11:04 UTC,89015,22.79,44.07,99253.00,411676.00,222.05,3.00,181.52,1815.24
2020-12-13 18:11:22 UTC,89016,22.79,44.12,99253.00,415481.00,221.09,3.00,180.73,1807.28
2020-12-13 18:11:41 UTC,89017,22.82,44.12,99251.00,414205.00,221.50,3.00,181.02,1810.21
2020-12-13 18:11:58 UTC,89018,22.84,44.08,99253.00,411676.00,222.72,3.00,181.96,1819.60
2020-12-13 18:12:16 UTC,89019,22.85,44.03,99251.00,414970.00,221.79,3.00,181.19,1811.87
2020-12-13 18:12:34 UTC,89020,22.87,43.93,99251.00,411425.00,221.30,3.00,180.76,1807.64
2020-12-13 18:12:49 UTC,89021,22.84,44.02,99251.00,412432.00,221.26,3.00,180.71,1807.11
2020-12-13 18:13:07 UTC,89022,22.84,43.95,99251.00,412180.00,221.51,3.00,180.88,1808.78
2020-12-13 18:13:25 UTC,89023,22.83,43.87,99251.00,411676.00,221.79,3.00,181.07,1810.69
2020-12-13 18:13:40 UTC,89024,22.86,43.81,99251.00,414714.00,221.21,3.00,180.58,1805.76
2020-12-13 18:13:55 UTC,89025,22.92,43.67,99255.00,413697.00,221.29,3.00,180.61,1806.13
2020-12-13 18:14:14 UTC,89026,22.87,43.71,99251.00,415225.00,218.98,3.00,178.75,1787.52
2020-12-13 18:14:32 UTC,89027,22.85,43.69,99251.00,414205.00,220.52,3.00,179.94,1799.41
2020-12-13 18:14:49 UTC,89028,22.90,43.56,99253.00,416765.00,217.24,3.00,177.31,1773.07
2020-12-13 18:15:04 UTC,89029,22.89,43.57,99255.00,420141.00,217.18,3.00,177.23,1772.33
2020-12-13 18:15:22 UTC,89030,22.86,43.58,99253.00,413697.00,219.83,3.00,179.29,1792.93
2020-12-13 18:15:37 UTC,89031,22.90,43.50,99257.00,419879.00,218.79,3.00,178.44,1784.43
2020-12-13 18:15:55 UTC,89032,22.88,43.53,99255.00,418057.00,217.85,3.00,177.66,1776.65
2020-12-13 18:16:14 UTC,89033,22.88,43.48,99257.00,419357.00,216.74,3.00,176.75,1767.51
2020-12-13 18:16:31 UTC,89034,22.88,43.46,99257.00,418057.00,218.01,3.00,177.72,1777.25
2020-12-13 18:16:49 UTC,89035,22.85,43.48,99251.00,418576.00,218.20,3.00,177.84,1778.37
2020-12-13 18:17:04 UTC,89036,22.94,43.31,99257.00,417798.00,215.22,3.00,175.45,1754.52
2020-12-13 18:17:22 UTC,89037,22.93,43.32,99257.00,419618.00,216.11,3.00,176.13,1761.30
2020-12-13 18:17:37 UTC,89038,22.93,43.31,99257.00,417798.00,218.14,3.00,177.71,1777.07
2020-12-13 18:17:55 UTC,89039,22.97,43.22,99253.00,420141.00,215.76,3.00,175.79,1757.86
2020-12-13 18:18:10 UTC,89040,22.99,43.14,99255.00,420141.00,214.94,3.00,175.12,1751.18
2020-12-13 18:18:25 UTC,89041,22.97,43.23,99259.00,420141.00,215.99,3.00,175.91,1759.14
2020-12-13 18:18:40 UTC,89042,23.01,43.21,99259.00,420403.00,215.34,3.00,175.38,1753.77
2020-12-13 18:18:58 UTC,89043,23.02,43.26,99253.00,422510.00,216.02,3.00,175.88,1758.85
2020-12-13 18:19:16 UTC,89044,23.01,43.45,99255.00,418316.00,215.74,3.00,175.63,1756.28
2020-12-13 18:19:31 UTC,89045,23.03,43.48,99259.00,415481.00,218.56,3.00,177.83,1778.25
2020-12-13 18:19:49 UTC,89046,23.05,43.51,99259.00,415225.00,218.51,3.00,177.75,1777.53
2020-12-13 18:20:04 UTC,89047,23.03,43.59,99263.00,415737.00,220.16,3.00,179.03,1790.33
2020-12-13 18:20:22 UTC,89048,23.03,43.59,99263.00,415994.00,220.51,3.00,179.27,1792.74
2020-12-13 18:20:37 UTC,89049,23.04,43.61,99261.00,416765.00,219.32,3.00,178.31,1783.09
2020-12-13 18:20:52 UTC,89050,23.08,43.60,99259.00,414460.00,220.63,3.00,179.31,1793.15
2020-12-13 18:21:07 UTC,89051,23.06,43.63,99261.00,416765.00,220.18,3.00,178.93,1789.33
2020-12-13 18:21:26 UTC,89052,23.05,43.71,99261.00,415481.00,219.28,3.00,178.19,1781.88
2020-12-13 18:21:43 UTC,89053,23.07,43.73,99261.00,416250.00,219.59,3.00,178.41,1784.05
2020-12-13 18:21:58 UTC,89054,23.05,43.76,99263.00,413190.00,220.85,3.00,179.37,1793.66
2020-12-13 18:22:16 UTC,89055,23.04,43.85,99263.00,408187.00,221.62,3.00,179.94,1799.42
2020-12-13 18:22:31 UTC,89056,23.03,43.88,99261.00,408930.00,222.45,3.00,180.57,1805.66
2020-12-13 18:22:46 UTC,89057,23.07,43.78,99263.00,409924.00,220.50,3.00,179.00,1790.02
2020-12-13 18:23:01 UTC,89058,23.06,43.81,99263.00,415225.00,219.96,3.00,178.56,1785.56
2020-12-13 18:23:19 UTC,89059,23.07,43.77,99265.00,408435.00,224.08,3.00,181.76,1817.63
2020-12-13 18:23:37 UTC,89060,23.10,43.66,99261.00,415481.00,217.50,3.00,176.55,1765.52
2020-12-13 18:23:55 UTC,89061,23.11,43.64,99263.00,409178.00,217.01,3.00,176.13,1761.35
2020-12-13 18:24:13 UTC,89062,23.11,43.77,99263.00,410423.00,221.29,3.00,179.47,1794.71
2020-12-13 18:24:28 UTC,89063,23.11,43.86,99265.00,412432.00,222.25,3.00,180.20,1802.02
2020-12-13 18:24:47 UTC,89064,23.12,43.86,99261.00,414970.00,221.36,3.00,179.46,1794.63
2020-12-13 18:25:04 UTC,89065,23.16,43.75,99261.00,412684.00,217.16,3.00,176.13,1761.33
2020-12-13 18:25:22 UTC,89066,23.16,43.73,99261.00,408930.00,222.25,3.00,180.10,1800.97
2020-12-13 18:25:40 UTC,89067,23.13,43.75,99261.00,414970.00,221.18,3.00,179.23,1792.31
2020-12-13 18:25:58 UTC,89068,23.22,43.58,99263.00,412180.00,219.42,3.00,177.81,1778.14
2020-12-13 18:26:16 UTC,89069,23.18,43.67,99259.00,414970.00,218.06,3.00,176.71,1767.08
2020-12-13 18:26:31 UTC,89070,23.20,43.60,99261.00,416508.00,217.88,3.00,176.54,1765.38
2020-12-13 18:26:46 UTC,89071,23.19,43.61,99263.00,413697.00,216.15,3.00,175.15,1751.53
2020-12-13 18:27:01 UTC,89072,23.17,43.63,99259.00,405731.00,221.96,3.00,179.69,1796.87
2020-12-13 18:27:19 UTC,89073,23.19,43.62,99263.00,409924.00,221.85,3.00,179.57,1795.71
2020-12-13 18:27:37 UTC,89074,23.18,43.70,99257.00,413697.00,218.92,3.00,177.24,1772.42
2020-12-13 18:27:52 UTC,89075,23.22,43.63,99259.00,412180.00,219.33,3.00,177.53,1775.33
2020-12-13 18:28:07 UTC,89076,23.21,43.66,99255.00,410423.00,222.53,3.00,180.02,1800.17
2020-12-13 18:28:25 UTC,89077,23.22,43.65,99259.00,407941.00,221.85,3.00,179.45,1794.49
2020-12-13 18:28:40 UTC,89078,23.21,43.66,99259.00,415225.00,218.59,3.00,176.87,1768.68
2020-12-13 18:28:55 UTC,89079,23.22,43.62,99255.00,406465.00,224.59,3.00,181.54,1815.45
2020-12-13 18:29:10 UTC,89080,23.26,43.60,99257.00,410924.00,221.70,3.00,179.25,1792.52
2020-12-13 18:29:25 UTC,89081,23.27,43.65,99257.00,410673.00,222.77,3.00,180.07,1800.69
2020-12-13 18:29:40 UTC,89082,23.24,43.79,99255.00,404757.00,222.52,3.00,179.85,1798.46
2020-12-13 18:29:58 UTC,89083,23.25,43.78,99257.00,402823.00,228.57,3.00,184.55,1845.54
2020-12-13 18:30:16 UTC,89084,23.26,43.75,99255.00,410423.00,222.21,3.00,179.54,1795.36
2020-12-13 18:30:31 UTC,89085,23.21,43.82,99257.00,404030.00,223.24,3.00,180.32,1803.19
2020-12-13 18:30:46 UTC,89086,23.25,43.75,99257.00,409427.00,221.97,3.00,179.29,1792.95
2020-12-13 18:31:04 UTC,89087,23.23,43.78,99257.00,405731.00,222.28,3.00,179.51,1795.05
2020-12-13 18:31:22 UTC,89088,23.26,43.69,99255.00,403305.00,224.54,3.00,181.24,1812.43
2020-12-13 18:31:37 UTC,89089,23.22,43.77,99255.00,409675.00,224.40,3.00,181.11,1811.07
2020-12-13 18:31:56 UTC,89090,23.22,43.80,99257.00,407201.00,223.03,3.00,180.00,1800.01
2020-12-13 18:32:13 UTC,89091,23.20,43.84,99255.00,407941.00,221.36,3.00,178.66,1786.58
2020-12-13 18:32:31 UTC,89092,23.19,43.87,99257.00,408930.00,221.79,3.00,178.97,1789.69
2020-12-13 18:32:46 UTC,89093,23.22,43.83,99255.00,402582.00,225.43,3.00,181.79,1817.88
2020-12-13 18:33:01 UTC,89094,23.20,43.87,99255.00,406220.00,225.48,3.00,181.80,1817.96
2020-12-13 18:33:16 UTC,89095,23.23,43.77,99255.00,412684.00,220.02,3.00,177.50,1774.98
2020-12-13 18:33:34 UTC,89096,23.20,43.86,99257.00,405731.00,226.37,3.00,182.43,1824.31
2020-12-13 18:33:52 UTC,89097,23.23,43.82,99257.00,408187.00,226.07,3.00,182.17,1821.66
2020-12-13 18:34:07 UTC,89098,23.26,43.84,99253.00,405731.00,224.60,3.00,180.99,1809.94
2020-12-13 18:34:22 UTC,89099,23.21,43.92,99255.00,400193.00,227.90,3.00,183.54,1835.43
2020-12-13 18:34:37 UTC,89100,23.27,44.04,99255.00,400669.00,229.98,3.00,185.14,1851.41
2020-12-13 18:34:52 UTC,89101,23.26,44.16,99255.00,407448.00,226.92,3.00,182.72,1827.24
2020-12-13 18:35:10 UTC,89102,23.28,44.11,99251.00,399719.00,233.80,3.00,188.06,1880.61
2020-12-13 18:35:25 UTC,89103,23.26,44.15,99255.00,403788.00,232.22,3.00,186.80,1868.03
2020-12-13 18:35:43 UTC,89104,23.31,44.08,99253.00,395267.00,232.39,3.00,186.90,1869.02
2020-12-13 18:36:01 UTC,89105,23.27,44.20,99253.00,395731.00,235.44,3.00,189.25,1892.49
2020-12-13 18:36:16 UTC,89106,23.31,44.11,99243.00,395036.00,232.77,3.00,187.13,1871.35
2020-12-13 18:36:31 UTC,89107,23.33,44.07,99243.00,391822.00,237.49,3.00,190.79,1907.92
2020-12-13 18:36:49 UTC,89108,23.36,44.04,99243.00,401863.00,233.60,3.00,187.72,1877.23
2020-12-13 18:37:04 UTC,89109,23.32,44.08,99243.00,398773.00,232.72,3.00,187.01,1870.06
2020-12-13 18:37:22 UTC,89110,23.32,44.24,99241.00,398067.00,229.45,3.00,184.42,1844.24
2020-12-13 18:37:40 UTC,89111,23.41,44.06,99243.00,395036.00,232.30,3.00,186.61,1866.10
